Data as of,Start week,End Week,Group,State,Indicator,COVID Deaths,Total Deaths,Percent of Expected Deaths,Pneumonia Deaths,Pneumonia and COVID Deaths,Influenza Deaths,"Pneumonia, Influenza, and COVID Deaths",Footnote
05/12/2020,02/01/2020,02/01/2020,By week,United States,Week-ending,0,57483,0.97,3700,0,472,4172,
05/12/2020,02/08/2020,02/08/2020,By week,United States,Week-ending,1,57953,0.97,3697,0,501,4199,
05/12/2020,02/15/2020,02/15/2020,By week,United States,Week-ending,0,57278,0.97,3721,0,526,4247,
05/12/2020,02/22/2020,02/22/2020,By week,United States,Week-ending,2,57274,0.99,3584,0,547,4133,
05/12/2020,02/29/2020,02/29/2020,By week,United States,Week-ending,7,57550,1,3685,5,623,4310,
05/12/2020,03/07/2020,03/07/2020,By week,United States,Week-ending,29,57203,0.99,3779,16,603,4394,
05/12/2020,03/14/2020,03/14/2020,By week,United States,Week-ending,51,55580,0.97,3757,26,593,4374,
05/12/2020,03/21/2020,03/21/2020,By week,United States,Week-ending,507,55660,0.98,4261,231,514,5045,
05/12/2020,03/28/2020,03/28/2020,By week,United States,Week-ending,2793,58793,1.05,5759,1269,417,7652,
05/12/2020,04/04/2020,04/04/2020,By week,United States,Week-ending,8537,66405,1.19,9078,4093,443,13747,
05/12/2020,04/11/2020,04/11/2020,By week,United States,Week-ending,13496,71278,1.28,10714,6022,446,18305,
05/12/2020,04/18/2020,04/18/2020,By week,United States,Week-ending,13077,65937,1.22,9430,5609,240,16963,
05/12/2020,04/25/2020,04/25/2020,By week,United States,Week-ending,8872,54581,1.01,6779,3743,121,11947,
05/12/2020,05/02/2020,05/02/2020,By week,United States,Week-ending,3277,35853,0.66,3159,1311,33,5145,
05/12/2020,05/09/2020,05/09/2020,By week,United States,Week-ending,846,12042,0.23,940,349,4,1441,
05/12/2020,02/01/2020,02/01/2020,By week,Alabama,Week-ending,0,1017,1.01,55,0,14,69,
05/12/2020,02/08/2020,02/08/2020,By week,Alabama,Week-ending,0,1105,0.97,61,0,10,71,
